"类型","业务ID","名称","定义","输出库表","匹配当前IO表名","筛选范围","证据边界"
"indicator","ind2024120483888198","客户_持仓组合盈亏率_无限制条件_近半年_零售和机构柜台","客户维度持仓组合近六月盈亏率（股基/普通场内股基/信用场内股基/普通场外基金/养老金/期权）
计算公式：收益率=(期末市值-期初市值+累计卖出金额-累计买入金额)/(期初市值+累计加权资金)","dm_index_n.index_grp1_cust_hld_posportflpalrate_recenthalfyear_retandorgcntr","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2024120441202233","客户_持仓组合盈亏率_无限制条件_近三月_零售和机构柜台","客户维度持仓组合近三月盈亏率（股基/普通场内股基/信用场内股基/普通场外基金/养老金/期权）
计算公式：收益率=(期末市值-期初市值+累计卖出金额-累计买入金额)/(期初市值+累计加权资金)","dm_index_n.index_grp1_cust_hld_posportflpalrate_recenttremth_retandorgcntr","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2023081073159862","客户_末次交易日期_场内和场外产品销售_无计算维度_零售和机构柜台","客户全产品、全平台最近交易日期: 但这里不包场内交易且不收佣金的产品，例如金快线，即相当于客户末次交易日期(不含金快线)","dm_index_n.index_grp_trade_amt_exch_otc_last_date","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2022122732867982","客户_总交易金额_场内和场外产品销售_当日_零售和机构柜台","总交易金额：场内交易金额（买+卖，双边的）+场外产品销售（场外的一般只看买入，单边的）
计算公式：场内交易金额_零售柜台+产品销售金额
备注：目前只打标签剔除现金增利（产品销售金额中剔除），其他理财新客考核剔除产品待确认口径后再开发；","dm_index_n.index_grp_trade_amt_exch_otc","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2023080877070777","客户_保有金额_金融产品_当月交易日日均_无备注信息","本指标包含以下用来区分保有额的标签：
1. 场内场外
2. 公募私募资管OTC
3. 场外公募产品
4. 线上线下
5. 基金投顾
6.资管（不含现金增利）
7.公募（不含基金投顾）
8.场外公募（不含基金投顾）
9.现金增利
10.资管大集合、资管小集合
11.公募_现金货币类_场内/场外
12.总值","dm_index_n.index_cust_ret_amt_finprd_mth_dealday_apd","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2024062501905464","客户_创收_财务折算后&不含交叉销售收入_最近3年_无备注信息","该指标为业务收入经财务折算后的创收指标，包括：净佣金财务折算后收入、保证金息差财务折算后收入、股票质押利息净收入财务折算后、产品实收收入财务折算后、两融利息净收入财务折算后、转融通财务折算后收入、行权融资财务折算后收入。

本指标转融通只包含了有客户号的客户收入。","dm_index_n.index_grp1_income_fincovtpst_last3year","否","名称或表名直接命中专题词","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2022123046917893","交易对手_持仓金额_自营场外交易_当日_无备注信息","自营场外交易的当天持仓金额","dm_index_n.index_grp_otc_hld_amt_d","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2022123058325085","交易对手_持仓金额_自营场外交易_当年日均_无备注信息","自营场外交易的本年日均持仓金额","dm_index_n.index_grp_otc_hld_amt_yapd","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2022122932303115","交易对手_交易金额_自营场外交易_当年总值_无备注信息","自营场外交易中某交易对手的当年总交易金额","dm_index_n.index_grp_otc_trd_amt_ytot","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2022123012301773","交易对手_交易金额_自营场外交易_当月总值_无备注信息","自营场外交易中某交易对手的月总交易金额","dm_index_n.index_grp_otc_trd_amt_mtot","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2024061852316303","员工_日均净资产_富裕高净值客户&开发关系&大小非新三板折算&北交所及同业不折算&不含未到账_近3个月_无备注信息","富裕高净值客户的近3个月日均净资产，包括普通账户新开、休眠激活、行权解禁客户。
净资产口径含现金（普通账户、信用账户分公司
和衍生品账户），市值（普通账户，停用账户和生品账户，具体含场内股基债、场外金融产品、衍生品市值等）、利息（通用回购逆回购、金快线），剔除负债（通用回购正回购、两
融等合约负债），大小非、新三板资产按5%折算。
即：客户交易性资产 = 净资产-（新三板（剔除大小非和北交所）+大小非流通）*0.95 + 大小非限售*0.05","dm_index_n.index_grp1_apdnetast_nwoprichhnwcust_devrela_ninclunarr_r3mth","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2024061987077635","员工_保有增长率_剔除买方投顾顶层底层&客户粒度扣减&剔除OTC保本固定_当季_无备注信息","指标每天更新上季度数据，季度末固化上季度数据。考核保有增长率=（本期日均产品保有规模-上期日均产品保有规模增）/上期日均产品保有规模","dm_index_n.index_grp1_tnrincrsrate_nothselcond_pqtr","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2024061918993501","员工_保有增长率_剔除买方投顾顶层底层&客户粒度扣减&剔除OTC保本固定_当月_无备注信息","指标每天更新上月数据，每月1号固化T-2月数据。考核保有增长率=（本期日均产品保有规模-上期日均产品保有规模增）/上期日均产品保有规模","dm_index_n.index_grp1_emp_tnrincrsrate_nothselcond_pmth","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2024061764264291","员工_保有金额_剔除买方投顾顶层底层&客户粒度扣减&剔除OTC保本固定_截至当月日均_无备注信息","指标每天更新上月数据，每月1号固化T-2月，共包含7个标签，包括以下内容：
1、考核日均固收产品保有额('tag074443357')
指固定收益类与现金货币类（以下简称“固货”，指场外固收产品、不含ETF）的保有规模，计算当年的日均保有规模;						
2、考核日均ETF产品保有额(,'tag074443358')	
指ETF产品保有规模，计算当年的日均保有规模;		
3、日均产品保有规模('tag074443356')	
包含公募、私募、资管、OTC（不含保本固定产品）的保有额。为避免认购期基金短期考核激励、以引导长期理性保有进而提升投资人长期投资收益，
产品保有规模为年度日均全产品保有额。此外，针对机构客户购买的货币基金（除现金增利）带来的保有增长按30%保有规模计入，计算当年的日均保有规模;			
4、个人客户考核日均产品保有额('tag074443967' )	
包含公募、私募、资管、OTC（不含保本固定产品）的保有额。为避免认购期基金短期考核激励、以引导长期理性保有进而提升投资人长期投资收益，
产品保有规模为年度日均全产品保有额。此外，针对机构客户购买的货币基金（除现金增利）带来的保有增长按30%保有规模计入，计算个人客户当年的日均保有规模;					
5、个人客户考核日均固收产品保有额('tag074443969')		
指固定收益类与现金货币类（以下简称“固货”，指场外固收产品、不含ETF）的保有规模，计算个人客户当年的日均保有规模;
6、个人客户考核日均ETF产品保有额('tag074443971')	
指ETF产品保有规模，计算个人客户当年的日均保有规模;					
7、考核日均买方投顾产品保有额('tag074443359')							
买方投顾业务产品指各骐骥系列、家族信托、尊享定制等产品，保有规模取全年日均值，不含底。","dm_index_n.index_grp1_emp_tnramt_nothselcond_endpmthapd","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2024061713007459","员工_考核收入_金融产品_上月汇总_无备注信息","考核收入不含交叉销售收入，不含产品户、同业客户产品考核收入。
大公募产品考核收入是指销售或保有面向不特定群体销售的金融产品（含公募基金、大集合资管产品、保险产品等）获得的考核收入。
大私募产品考核收入是指销售或保有面向特定群体销售的金融产品（含私募基金、资管小集合、收益凭证等）获得的考核收入","dm_index_n.index_grp1_emp_income_finprd_examincome_pmthsum","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2023032153667560","客户_浏览次数TOP5_场外基金_最近30天_无备注信息","客户最近30天浏览场外基金次数最高的5个产品的浏览次数","dm_index_n.index_grp_otc_fnd_view_times_top5","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2023081102096206","客户_浏览明细TOP5_基金和理财产品_最近30天_无备注信息","客户最近30天浏览基金产品次数排名前五的产品浏览明细指标值为：产品名称、代码、浏览次数中间用 ' | ' 隔开，只包含场外产品","dm_index_n.index_grp_fnd_prd_view_det_top5_30d","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2024053021607911","客户*营业部&客户*分公司本部_保有金额_金融产品&异地开户调整_当日_无备注信息","客户*营业部&客户*分公司本部粒度的金融产品保有时点金额，考虑异地开户，本指标包含以下用来区分保有额的标签：
1. 场内场外
2. 公募私募资管OTC
3. 场外公募产品
4. 线上线下
5. 基金投顾
6.资管（不含现金增利）
7.公募（不含基金投顾）
8.场外公募（不含基金投顾）
9.现金增利
10.资管大集合、资管小集合
11.公募_现金货币类_场内/场外
12.总值","dm_index_n.index_grp2_divd_ret_amt_finprd_tdy","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2024052214139682","客户_连续持有金额_货币基金_当日_无备注信息","当前持有货币基金持续天数(自然日)
从T-1开始往前查，如果当天货币基金保有金额大于0则计算为有持有并合计总金额，直到保有金额等于0则停止计算。 当前持有货币基金根据购买渠道分为当前场内持有货币基金（tag074441116）和当前场外持有货币基金（tag510000204）。","dm_index_n.index_grp1_cust_contholdamt_mf_tdy","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2024052235299982","客户_连续持有天数_货币基金_当日_无备注信息","当前持有货币基金持续天数(自然日)
从T-1开始往前查，如果当天货币基金保有金额大于0则计算为有持有天数，直到保有金额等于0则停止计算。 当前持有货币基金根据购买渠道分为当前场内持有货币基金（tag074441116）和当前场外持有货币基金（tag510000204）。","dm_index_n.index_grp1_cust_contholddays_mf_tdy","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2024051079316110","营业部*客户*员工_引荐开户部门收入分成_交叉销售&税后_当年累计_无备注信息","交叉销售客户当年累计引荐开户部门收入分成(税后) = （交叉销售客户当月引荐开户部门收入分成 / 1.06 + 交叉销售客户当年1月开始截至上月所有月份累计引荐开户部门收入分成之和）/ 1.06。其中：交叉销售客户当月引荐开户部门收入分成=当月净佣金收入(已均分) ＊当月收入分成比例。","dm_index_n.index_grp3_recmd_oact_dept_income_divd_afttax_year","否","名称或表名直接命中专题词","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2024051042000468","营业部*客户*员工_引荐开户部门收入分成_交叉销售_当月_无备注信息","交叉销售客户当月引荐开户部门收入分成=当月净佣金收入(已均分) ＊当月收入分成比例。其中：① 当月净佣金收入(已均分) = 当月场内净佣金收入(普通账户) / 客户对应的推荐人数量 / 客户对应的营业部数量；② 当月收入分成比例 = 1 - 当月佣金收入留存比例。","dm_index_n.index_grp3_recmd_oact_dept_income_divd_mth","否","名称或表名直接命中专题词","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2024041665783193","客户_交易品种_无限制条件_当日_无备注信息","客户每日交易的产品所属类型
1、A股：源交易类别代码 IN ('1','2','9') 和 源证券类别代码 = '0' 、 源交易类别代码 IN ('2') 和 源证券类别代码 in('c','q','p') 、源交易类别代码 IN ('1') 和 源证券类别代码 in ('e','g')
2、B股：源交易类别代码 IN ('D','H','A') 和 源证券类别代码 = ’0‘ 
3、H股：源交易类别代码 IN  ('G','S')  和 源证券类别代码 = ’0‘ 
4、期权品种: 	
4.1、认沽期权：期权种类代码  = 'P'
4.2、认购期权：期权种类代码  = 'C'
3、理财产品：
3.1、理财产品交割表中 源交易类别代码(产品TA编号) IN  ('87', 'O1', 'O2', 'CZZ')
3.2、衍生品理财
4、场外开放式基金
理财产品中 源交易类别代码(产品TA编号) NOT IN  ('87', 'O1', 'O2', 'CZZ')
5、其他类型：
除以上类型外，匹配到的源产品类别代码对应产品","dm_index_n.index_grp1_cust_trd_prd_type","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2024042412592930","客户_产品到期日期_无限制条件_最近30天_无备注信息","到期的产品（最近30天)
产品范围： 包括收益凭证、金快线产品
数据格式： 
GIXZK0|广发收益宝1号7天期|2024-01-23;GIXZG0|广发收益宝1号7天期|2024-01-18","dm_index_n.index_grp1_matyprd_last30day","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2024010469221210","客户*产品_用于测试_无限制条件_无计算维度_无备注信息","目前产品包括：场外公募、私募、收益凭证、募集期的场内基金ETF","dm_index_n.index_grp1_view_times_meg_chrem_prd_tdy","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2024032234855654","持仓_市值_资产核算&场外证券_当日_零售和机构柜台","资产核算流水生成持仓指标","dm_index_n.pcav_hold_index","是","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2024041071634525","客户_浏览天数_场内&场外产品&易淘金_最近90天_无备注信息","客户最近90天有多少天浏览了易淘金中的场内场外产品","dm_index_n.index_grp1_viewdays_ost_otcprd_meg_last90day","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2024031100939275","员工_净资产_普通开发关系&大小非新三板折算&北交所及同业不折算&不含未到账资产_当月累计_无备注信息","普通开发关系下的员工对应的客户历史总计（入职以来）的净资产总和。净资产口径含现金（普通账户、信用账户和衍生品账户）、市值（普通账户、信用账户和衍生品账户，具体含场内股基债、场外金融产品、衍生品市值等）、利息（通用回购逆回购、金快线），剔除负债（通用回购正回购、两融等合约负债），大小非、新三板（剔除北交所）资产按5%折算。","dm_index_n.index_grp1_emp_netast_normdevrela_mthaccum","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2023092004311813","客户_总交易金额_场内&场外产品销售&含金快线_当日_零售和机构柜台","总交易金额：场内交易金额（买+卖，双边的）+场外产品销售（场外的一般只看买入，单边的）+金快线购买金额
计算公式：场内交易金额_零售柜台+产品销售金额+金快线购买金额
备注：目前已打标签有剔除现金增利（产品销售金额中剔除）、剔除新客专享相关和资产账户类型，其他理财新客考核剔除产品待确认口径后再开发；","dm_index_n.index_grp1_cust_tradeamt_all_exch_otc","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2024031407693574","客户*产品_购买笔数_场内&场外理财产品_当日_零售柜台和机构柜台","某客户购买某场内或场外理财产品的笔数","dm_index_n.index_grp2_cust_prd_otc_ost_chrem_purch_num","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2023080200752744","客户_日均市值_最近连续持有货币基金_当日_无备注信息","当前持有货币基金持续天数(自然日)
从T-1开始往前查，如果当天货币基金保有金额大于0则计算为有持有并合计总金额和天数，直到保有金额等于0则停止计算，日均金额则为总金额/总持续天数(自然日)，最多统计到2014-01-01日；
当前持有货币基金根据购买渠道分为当前场内持有货币基金（tag074441116）和当前场外持有货币基金（tag510000204）。","dm_index_n.index_grp_cust_apdmval_lastcontholdmf_tdy","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2024020616841381","营业部&分公司_保有金额_金融产品&机构货基3折&剔除OTC保本固定&剔除买方投顾&其他特殊计入等_年日均_无备注信息","包含公募、私募、资管、OTC（不含保本固定产品）的保有额。为避免认购期基金短期考核激励、以引导长期理性保有进而提升投资人长期投资收益，产品保有规模为年度日均全产品保有额。此外，针对机构客户购买的货币基金（除现金增利）带来的保有增长按30%保有规模计入，不含买方投顾业务的顶层底层保有","dm_index_n.index_grp1_kpi2024_org_asmt_ret_yearapd","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2024012206153698","客户*产品_购买笔数_理财特权卡券_当日_零售和机构柜台","某天某客户购买某类理财特权卡券的笔数。备注说明：理财特权卡券设置“心仪理财特权卡券”、“心动理财特权卡券”2类卡券，其中心仪理财特权卡券对应原金快线产品，心动理财特权卡券对应原收益凭证产品","dm_index_n.index_grp2_cust_secu_purchcnt_chrem_privi_cardscr_tdy","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2023092242119591","客户_首次交易日期_场内&场外产品销售_无计算维度_零售和机构柜台","客户全产品和全平台首次交易日期，但不包括场内交易且不收佣金的产品，例如金快线，相当于客户首次交易日期(不含金快线)
统计时间2019-01-01开始","dm_index_n.index_grp1_cust_tradeamt_exch_otc_first_date","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2024010881863860","客户_净资产_大小非新三板折算&北交所及同业不折算&不含未到账资产_当月10至25日均_零售柜台和机构柜台","净资产口径含现金（普通账户、信用账户分公司
和衍生品账户），市值（普通账户，停用账户和生品账户，具体含场内股基债、场外金融产品、衍生品市值等）、利息（通用回购逆回购、金快线），剔除负债（通用回购逆回购、两
融等合约负债），大小非、新三板资产按5%折算。
即：客户交易性资产 = 净资产-（新三板（剔除大小非和北交所）+大小非流通）*0.95 + 大小非限售*0.05
日均值为当月10-25日交易日日均","dm_index_n.index_grp1_cust_avg_trd_net_asset_xsb_nts_covt_mon","是","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2022080300000004","定投金额_场外基金","某客户每日某产品定投金额","dm_index_n.index_grp_fund_details_amt","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2022080300000002","定投次数_场外基金","某客户每日某产品定投次数","dm_index_n.index_grp_fund_details_num","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2023121276596844","客户_总交易金额_场内和场外_当年_零售柜台和机构柜台","某个客户下当年零售柜台和机构柜台下场内和场外的总交易金额","dm_index_n.index_grp1_cust_total_tramt_year","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2023081053399737","客户_最近购买日期_场外货币基金&当前持有_无计算维度_无备注信息","当前持有场外货币基金（公募）最近建仓日期：追溯到2019-01-01日；从T-1日开始往前查，如果当天场外货币基金保有金额大于等于10则计算为持有，当保有金额小于10时，将最后一个保有金额大于等于10的日期作为最近持仓日期","dm_index_n.index_cust_last_purchdate_otc_mf_currhold","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2023092106415158","产品_保有份额_金融产品_当日_无备注信息","产品级别保有份额，区分场内场外，不包含线下","dm_index_n.index_grp1_tnrshr_finprd_tdy","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2023111692831483","营业部&分公司&总部各部门_协同贡献金额_资管&交叉销售_当月_无备注","协同贡献=产品佣金+产品管理费+产品业绩报酬 - (部门佣金净收入+应调整考核部门管理费+应调整考核部门业绩提成)","dm_index_n.index_grp1_contrb_amt_assm_cs_mon","否","名称或表名直接命中专题词","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2023110176439426","产品_保有份额_不分场内场外金融产品_日_无备注信息","产品_保有份额_不分场内场外金融产品_日_无备注信息","dm_index_n.index_grp1_tnrshr_notdispostotcfinprd_day","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2023092146269700","产品_保有金额_金融产品_当日_无备注信息","产品级别保有金额，区分场内场外，不包含线下","dm_index_n.index_grp1_tnramt_finprd_tdy","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2023070510334737","客户&产品_委托金额_场内基金&场外产品_当日_无备注信息","下了委托都算，单位：元，和《产品销售来源汇总》这个报表口径","dm_index_n.index_grp_cust_prd_trustamt_ostfnd_otcprd_tdy","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2023101239644451","产品_保有金额_不分场内场外金融产品_日_无备注信息","产品_保有金额_不分场内场外金融产品_日_无备注信息","dm_index_n.index_prd_tnramt_notdispostotcfinprd_day","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2023101249667967","产品_保有客户数_不分场内场外金融产品_日_无备注信息","产品_保有客户数_金融产品&不分场内场外_日_无备注信息","dm_index_n.index_prd_tnrcustcnt_notdispostotcfinprd_day","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2023101250846555","客户*产品_保有金额_金融产品&不分场内场外_日_无备注信息","客户*产品_保有金额_金融产品&不分场内场外_日_无备注信息","dm_index_n.index_cust_prd_tnramt_finprd_notdispostotc_day","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2023092009036777","客户_首次交易日期_新客理财&场外产品&不含现金增利&不含基金投顾&2018年以来_当日_无备注信息","计算客户首次购买场外产品+新客理财 (场内+场外)日期。
1、新客理财主要是指: 金快线、多添利、收益凭证(收益宝、新客宝)，其中金快线是场内，多添利和收益凭证是场外；
2、场外产品包括：场外金融产品（不含现金增利和基金投顾），已包括多添利和收益凭证；
3、从2018年开始统计首次购买日期","dm_index_n.index_grp1_firdealdate_new_chrem_finprd_tdy","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2023092012780543","客户*产品_保有金额_金融产品_当月日均_无备注信息","本指标包含以下用来区分保有额的标签：
1. 场内场外
2. 公募私募资管OTC
3. 场外公募产品
4. 线上线下
5. 基金投顾
6.资管（不含现金增利）
7.公募（不含基金投顾）
8.场外公募（不含基金投顾）
9.现金增利
10.资管大集合、资管小集合
11.公募_现金货币类_场内/场外
12.总值","dm_index_n.index_grp2_retamt_finprd_mthapd","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2023090813930620","客户_连续持仓最长天数_场外公募基金&2019年至今_当日_无备注信息","计算2019年至今连续持仓公募基金最长天数（含基金投顾）","dm_index_n.index_grp1_conthld_posleaderdays_otcpubfnd_2019ytd_tdy","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2023091144267171","客户_销售金额_金融产品_当年_无备注信息","本指标包含以下用来区分交易额的标签：
1. 场内场外
2. 公募私募资管OTC
3. 场外公募产品
4. 线上线下
5. 基金投顾
6.资管（不含现金增利）
7.公募（不含基金投顾）
8.场外公募（不含基金投顾）
9.现金增利
10.资管大集合、资管小集合
11.公募_现金货币类_场内/场外
12.总值","dm_index_n.index_grp1_sale_amt_finprd_year","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2023090884851317","客户_收益金额_场外理财产品_当日_无备注信息","客户当日场外理财产品收益金额","dm_index_n.index_grp1_yieldamt_otcchremprd_tdy","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2023090857447968","客户_收益金额_场外理财产品_当年_无备注信息","客户当年场外理财产品收益金额","dm_index_n.index_grp1_yieldamt_otcchremprd_year","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2023090854059642","客户_收益金额_场外理财产品_最近1年_无备注信息","客户最近1年场外理财产品收益金额","dm_index_n.index_grp1_yieldamt_otcchremprd_last1year","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2023090857140261","客户_收益金额_场外公募基金_当月_无备注信息","客户当月场外公募基金收益金额","dm_index_n.index_grp1_yieldamt_otcpubfnd_mth","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2023090811418864","客户_收益金额_场外公募基金_当日_无备注信息","客户当日场外公募基金收益金额","dm_index_n.index_grp1_yieldamt_otcpubfnd_tdy","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2023090835443235","客户_收益金额_场外公募基金_最近30天_无备注信息","客户最近30天场外公募基金收益金额","dm_index_n.index_grp1_yieldamt_otcpubfnd_last30day","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2023090879430370","客户_收益金额_场外公募基金_最近1年_无备注信息","客户最近1年场外公募基金收益金额","dm_index_n.index_grp1_yieldamt_otcpubfnd_last1year","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2023090815990404","客户_收益金额_场外公募基金_当年_无备注信息","客户当年场外公募基金收益金额","dm_index_n.index_grp1_yieldamt_otcpubfnd_year","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2023090885164815","客户_收益金额_场外公募基金_最近90天_无备注信息","客户最近90天场外公募基金收益金额","dm_index_n.index_grp1_yieldamt_otcpubfnd_last90day","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2023090830182761","客户_收益金额_场外理财产品_最近90天_无备注信息","客户最近90天场外理财产品收益金额","dm_index_n.index_grp1_yieldamt_otcchremprd_last90day","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2023090810788059","客户_收益金额_场外理财产品_最近30天_无备注信息","客户最近30天场外理财产品收益金额","dm_index_n.index_grp1_yieldamt_otcchremprd_last30day","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2023090898702741","客户_收益金额_场外理财产品_当月_无备注信息","客户当月场外理财产品收益金额","dm_index_n.index_grp1_yieldamt_otcchremprd_mth","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2023090519180538","客户_收益率_场外理财产品_当年_无备注信息","客户当年场外理财产品收益率指标值为百分位数","dm_index_n.index_grp1_yield_otcchremprd_year","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2023082879156520","客户_距离首次交易天数_场外公募基金_当日_无备注信息","距离客户首次完成场外公募基金交易日期的天数","dm_index_n.index_grp1_firdealdays_otcpubfnd_tdy","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2023090561323233","客户_收益率_场外公募基金_当年_无备注信息","客户当年场外公募基金收益率指标值为百分位数","dm_index_n.index_grp1_yield_otcpubfnd_year","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2023090577049095","客户_收益率_场外公募基金_最近1年_无备注信息","客户最近1年场外公募基金收益率指标值为百分位数","dm_index_n.index_grp1_yield_otcpubfnd_last1year","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2023090524393111","客户_收益率_场外公募基金_最近90天_无备注信息","客户最近90天场外公募基金收益率指标值为百分位数","dm_index_n.index_grp1_yield_otcpubfnd_last90day","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2023090562494887","客户_收益率_场外公募基金_最近30天_无备注信息","客户最近30天场外公募基金收益率指标值为百分位数","dm_index_n.index_grp1_yield_otcpubfnd_last30day","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2023090513903910","客户_收益率_场外公募基金_当月_无备注信息","客户当月场外公募基金收益率指标值为百分位数","dm_index_n.index_grp1_yield_otcpubfnd_mth","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2023090520027020","客户_收益率_场外理财产品_最近1年_无备注信息","客户最近1年场外理财产品收益率指标值为百分位数","dm_index_n.index_grp1_yield_otcchremprd_last1year","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
